City,District,Street,Price,Price_per_m,Area,Room number,Start date,Scraping date,Listing url,Floor,Floors number,Days difference
Poznań  ,Piątkowo,Osiedle Bolesława Śmiałego,476 000,9 501,50,2,2024-11-20,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-boleslawa-smialego/ob/38279875,0,4,29
Poznań  ,Nowe Miasto,Studniarskiego,477 000,12 720,37,1,2024-07-02,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-nowe-miasto-studniarskiego/ob/35074283,4,5,170
Poznań  ,Jeżyce,Augustyna Szamarzewskiego,479 000,13 848,34,2,2024-09-11,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-augustyna-szamarzewskiego/ob/36993179,2,3,99
Poznań  ,Jeżyce,Augustyna Szamarzewskiego,479 000,13 631,35,2,2024-09-11,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-augustyna-szamarzewskiego/ob/36991139,3,3,99
Poznań  ,Wilda,Przemysłowa,485 000,9 700,50,2,2024-09-02,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilda-przemyslowa/ob/36814477,2,2,108
Poznań  ,Nowe Miasto,Studniarskiego,499 000,12 633,39,1,2024-07-02,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-nowe-miasto-studniarskiego/ob/35074697,4,5,170
Poznań  ,Grunwald,Grunwaldzka,519 999,14 444,36,2,2024-10-23,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-grunwaldzka/ob/38499231,1,3,57
Poznań  ,Nowe Miasto,Lecha,530 000,9 122,58,3,2024-11-21,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-lecha/ob/38301781,0,11,28
Poznań  ,Piątkowo,Ludwika Braille'a,539 000,12 270,43,3,2024-10-17,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-os-stefana-batorego/ob/37678141,0,4,63
Poznań  ,Rataje,Lecha,560 000,9 492,59,3,2024-02-29,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-rataje-lecha/ob/35200295,2,4,294
Poznań  ,Winogrady,Czarna Rola,589 000,11 187,52,3,2024-08-05,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-winogrady-czarna-rola/ob/36332169,1,1,136
Poznań  ,Piątkowo,Piątkowo,598 000,13 236,45,2,2024-11-05,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo/ob/38011231,2,2,44
Poznań  ,Grunwald,Jugosłowiańska,627 000,8 462,74,3,2024-02-28,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jugoslowianska/ob/36957091,2,11,295
Poznań  ,Piątkowo,Bolesława Chrobrego,639 000,8 612,74,4,2024-09-23,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-boleslawa-chrobrego/ob/38123153,3,3,87
Poznań  ,Stare Miasto,Seweryna Mielżyńskiego,649 000,14 750,44,2,2024-10-08,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-stare-miasto-seweryna-mielzynskiego/ob/37500281,3,5,72
Poznań  ,Stare Miasto,Stare Miasto,650 000,11 586,56,3,2024-04-15,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-stare-miasto/ob/34285087,0,4,248
Poznań  ,Grunwald,Ziębicka,689 000,13 841,49,2,2024-11-25,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-ziebicka/ob/38364465,1,3,24
Poznań  ,Górczyn,Częstochowska,699 000,7 901,88,3,2024-10-02,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-gorczyn-czestochowska/ob/37381617,1,2,78
Poznań  ,Jeżyce,Klemensa Janickiego,699 000,20 619,33,1,2024-07-09,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-janickiego/ob/35149169,2,7,163
Poznań  ,Jeżyce,Jana Długosza,749 000,8 679,86,4,2024-11-13,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-dlugosza/ob/38157639,0,2,36
Poznań  ,Jeżyce,Jana Henryka Dąbrowskiego,778 000,15 507,50,2,2024-10-05,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-jana-henryka-dabrowskiego/ob/37457975,0,4,75
Poznań  ,Centrum,Gwarna,848 500,16 390,51,2,2024-12-10,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-centrum-gwarna/ob/38671229,2,4,9
Poznań  ,Grunwald,Wojskowa,890 000,15 808,56,2,2024-10-03,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-wojskowa/ob/37410997,4,5,77
Poznań  ,Stare Miasto,Towarowa,899 000,17 627,51,2,2024-04-28,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-stare-miasto-towarowa/ob/34422007,3,11,235
Poznań  ,Rataje,Starołęcka,1 150 000,17 249,66,3,2024-07-30,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-rataje-starolecka/ob/35346515,7,7,142
Poznań  ,Wilda,Bielniki,1 499 000,19 987,75,3,2024-07-10,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilda-bielniki/ob/35158057,3,4,162
Poznań  ,Centrum,Gwarna,1 701 000,16 021,106,3,2024-12-10,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-centrum-gwarna/ob/38671261,3,4,9
Poznań  ,Jeżyce,Litewska,3 500 000,19 886,176,6,2024-10-18,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-litewska/ob/37706719,0,0,62
Poznań  ,Ogrody,Zofii Nałkowskiej,5 000 000,24 876,201,8,2024-10-28,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-ogrody-zofii-nalkowskiej/ob/37882621,3,4,52
Poznań  ,Podolany,Podolany,399 000,12 183,32,1,2024-10-22,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-podolany/ob/37777581,4,4,58
Poznań  ,Wilda,28 Czerwca 1956 r.,418 000,11 000,38,2,2024-12-04,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilda-28-czerwca/ob/38541239,1,3,15
Poznań  ,Górczyn,Piotra Skargi,480 000,8 571,56,4,2024-07-05,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-gorczyn-piotra-skargi/ob/35116761,4,4,167
Poznań  ,Grunwald,Jawornicka,481 440,13 600,35,2,2024-11-21,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-jawornicka/ob/38301707,0,3,28
Poznań  ,Stare Miasto,Przyjaźni Polsko-Węgierskiej,485 000,9 510,51,3,2024-08-29,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-stare-miasto-przyjazni/ob/36743119,1,4,112
Poznań  ,Łazarz,Łazarz,528 000,8 341,63,2,2023-08-09,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-lazarz/ob/31405245,1,4,498
Poznań  ,Warszawskie,Pułtuska,590 000,8 806,67,2,2024-10-06,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-warszawskie-pomet-maltanskie-pultuska/ob/37468983,0,1,74
Poznań  ,Naramowice,Naramowicka,599 000,12 745,47,3,2024-10-28,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-naramowice-naramowicka/ob/37886053,2,4,52
Poznań  ,Jeżyce,Stanisława Latwisa,639 450,14 500,44,2,2024-09-25,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-stanislawa-baranczaka/ob/37247279,6,6,85
Poznań  ,Stare Miasto,Tadeusza Kościuszki,669 000,8 920,75,2,2024-09-30,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-stare-miasto-kosciuszki/ob/37326149,4,4,80
Poznań  ,Piątkowo,Bolesława Śmiałego,699 000,9 497,73,3,2024-11-05,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-boleslawa-smialego/ob/38007913,4,11,44
Poznań  ,Piątkowo,Osiedle Stefana Batorego,795 000,11 955,66,2,2024-10-30,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-osiedle-stefana-batorego/ob/37913155,5,5,50
Poznań  ,Szczepankowo,Szczepankowo,795 000,8 641,92,4,2024-05-23,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-szczepankowo-splawie-krzesinki-szczepankowo/ob/36604369,1,1,210
Poznań  ,Jeżyce,Kościelna,949 000,9 214,103,3,2024-05-07,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-koscielna/ob/34493713,3,3,226
Poznań  ,Grunwald,Macieja Palacza,980 000,9 423,104,3,2024-08-22,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-macieja-palacza/ob/36629687,3,4,119
Poznań  ,Jeżyce,św. Wawrzyńca,1 090 000,17 581,62,3,2024-09-27,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-sw-wawrzynca/ob/37290087,1,8,83
Poznań  ,Wilda,Dezyderego Chłapowskiego,1 190 000,13 161,90,3,2024-06-03,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilda-dezyderego-chlapowskiego/ob/34762507,3,4,199
Poznań  ,Jeżyce,Botaniczna,2 200 000,20 000,110,4,2024-04-12,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-botaniczna/ob/34263579,9,10,251
Poznań  ,Grunwald,Józefa Chełmońskiego,334 366,9 999,33,1,2024-06-28,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-chelmonskiego/ob/35035837,-1,4,174
Poznań  ,Jeżyce,Józefa Kraszewskiego,425 000,15 741,27,2,2024-11-11,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-jozefa-kraszewskiego/ob/38123963,3,5,38
Poznań  ,Centrum,Długa,425 000,11 068,38,1,2024-10-24,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-centrum-dluga/ob/37817889,1,4,56
Poznań  ,Główna,Gnieźnieńska,440 000,11 000,40,2,2024-09-09,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-glowna-gnieznienska/ob/36961527,4,4,101
Poznań  ,Wilda,Wiklinowa,460 000,10 440,44,2,2024-06-19,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilda-wiklinowa/ob/34938609,1,4,183
Poznań  ,Wilda,Wilda,480 000,2 757,174,6,2024-12-04,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilda/ob/38539857,3,3,15
Poznań  ,Nieznana,Przyjaźni Polsko-Węgierskiej,485 000,9 134,53,3,2024-10-24,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-przyjazni/ob/37814623,4,4,56
Poznań  ,Stare Miasto,Osiedle Przyjaźni,495 000,10 312,48,3,2024-08-06,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-stare-miasto-osiedle-przyjazni/ob/36346719,3,4,135
Poznań  ,Podolany,Edwarda Raczyńskiego,499 000,9 420,52,3,2024-10-31,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-podolany-edwarda-raczynskiego/ob/37934151,3,4,49
Poznań  ,Podolany,Strzeszyńska,499 000,12 617,39,2,2024-10-29,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-podolany-strzeszynska/ob/37898515,1,4,51
Poznań  ,Winogrady,Os. Wichrowe Wzgórze,529 000,9 297,56,3,2024-11-04,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-winogrady-os-wichrowe-wzgorze/ob/37999447,3,4,45
Poznań  ,Stare Miasto,Stare Miasto,549 000,12 506,43,3,2024-09-24,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-stare-miasto-brailla/ob/37220239,0,4,86
